EFT_PERIODO	EFT_VIVIENDA	EFT_ESTRATO	EFT_EN	EFT_UPM	EFT_ANO	EFT_SEMESTRE	EFT_PROVINCIA	EFT_MUNICIPIO	EFT_ZONA	EFT_BARRIO_SECCION	EFT_PARAJE	EFT_NO_ORDEN_UPM	EFT_ROTACION	EFT_ENCUESTADOR	EFT_SUPERVISOR	EFT_CRITICO_CODIFICADOR	EFT_DIGITADOR	EFT_CANT_HOGARES	EFT_USO_VIV_ORIGINAL	EFT_USO_VIV_RESERVA	EFT_CUAL_UTILIZO	EFT_POR_QUE	EFT_TIPO_VIVIENDA	EFT_NO_DE_CASAS	EFT_NO_DE_PISOS	EFT_NO_APTO_POR_PISO	EFT_PARED_EXTERIOR	EFT_PARED_INTERIOR	EFT_TECHO	EFT_PISO	EFT_TIPO_TENENCIA	EFT_CANT_CUARTOS	EFT_CANT_DORMITORIOS	EFT_UBICACION_COCINA	EFT_COMBUSTIBLE_COCINA	EFT_AGUA_RED_PUBLICA	EFT_TIPO_SANITARIO	EFT_ESTADO_VIVIENDA	EFT_APARIENCIA_VIVIENDA	EFT_PAGA_ALQUILER	EFT_MONTO_ALQUILER	EFT_PERIODO_PAGO_ALQ	EFT_MONTO_PROBABLE_ALQ	EFT_POR_QUE_UTILIZO_ABC	EFT_FACTOR_EXP	EFT_POR_QUE_RESERVA	EFT_POR_QUE_NO_REALIZO	EFT_POR_QUE_NO_REALIZO_OTROS	EFT_ALUMBRADO_PUBLICO	EFT_CALLES_ASFALTADAS	EFT_TIPO_VIVIENDA_ESP	EFT_PARED_EXTERIOR_ESP	EFT_PARED_INTERIOR_ESP	EFT_TECHO_ESP	EFT_PISO_ESP	EFT_TENENCIA_ESP	EFT_COMBUSTIBLE_COCINA_ESP	EFT_MONTO_ALQUILER_DOLARES	EFT_MONTO_PROBABLE_ALQ_DOLARES	EFT_DURACION_ENTREVISTA	EFT_NUMERO_VISITAS	EFT_TIPO_ALUMBRADO_VIV	EFT_TIPO_ALUMBRADO_VIV_ESP	EFT_COMO_ELIMINA_BASURA	EFT_COMO_ELIMINA_BASURA_ESP	EFT_TIEMPO_PAGA_ALQUILER
1/2000	210	1	0	21			1	101	0	SANTA CRUZ, VILLA MELLA		10	0	8	150	94,205	13,900	1	1				1	0	0	0	2	2	19	4	5	2	1	3	1	1	2	3	5	2	0.00	0	1,000.00		360																					
1/2000	211	1	0	22			1	101	0	LA ZURZA		1	0	30	146	13,900	79,004	1	1				3	4	0	0	9	14	19	4	7	2	2	1	1	2	1	2	4	1	600.00	2	0.00		267																					
1/2000	212	1	0	22			1	101	0	LA ZURZA		2	0	30	146	13,900	79,004	1	1				1	0	0	0	2	9	19	4	5	3	2	1	1	2	1	3	4	2	0.00	0	1,500.00		268																					
1/2000	213	1	0	22			1	101	0	LA ZURZA		3	0	30	146	13,900	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	3	1	2	2	2	4	1	1,000.00	2	0.00		268																					
1/2000	214	1	0	22			1	101	0	LA ZURZA		4	0	30	146	13,900	79,004	1	1				3	3	0	0	9	14	19	4	7	2	2	1	1	2	3	3	5	1	600.00	2	0.00		268																					
1/2000	215	1	0	22			1	101	0	LA ZURZA		5	0	30	146	13,900	79,004	2	1				1	0	0	0	2	2	6	4	7	3	2	1	1	2	2	2	4	1	1,500.00	2	0.00		268																					
1/2000	216	1	0	22			1	101	0	LA ZURZA		6	0	30	146	13,900	79,004	1	1				3	3	0	0	9	14	19	4	8	2	1	1	1	2	3	2	5	2	0.00	0	450.00		268																					
1/2000	217	1	0	22			1	101	0	LA ZURZA		7	0	30	146	13,900	79,004	1	2	1	C		8	0	0	0	2	2	19	4	1	3	2	1	1	2	2	3	5	2	0.00	0	1,000.00		268																					
1/2000	218	1	0	22			1	101	0	LA ZURZA		8	0	30	146	13,900	79,004	1	1				3	3	0	0	9	20	19	4	8	1	0	3	6	2	4	3	5	2	0.00	0	200.00		267																					
1/2000	219	1	0	22			1	101	0	LA ZURZA		9	0	30	146	13,900	79,004	1	2	1	A		8	0	0	0	2	2	6	4	7	2	1	1	1	2	3	2	4	1	500.00	2	0.00		268																					
